"User"    , "Name"                                                                     , "Status"
"Admin"   , "POST /auth/register ? Primary Admin creates account"                      , "PASS"
"Admin"   , "Register returns correct firstName (Chidi)"                               , "PASS"
"Admin"   , "Register returns organization slug (auto-generated)"                      , "PASS"
"Admin"   , "Register ? duplicate email rejected (onboarding guard)"                   , "PASS"
"Admin"   , "Setup Wizard Step 1 ? POST /branches (Lagos Head Office)"                 , "PASS"
"Admin"   , "Setup Wizard Step 1 ? POST /branches (Abuja Office)"                      , "PASS"
"Admin"   , "Setup Wizard Step 1 ? POST /branches (Port Harcourt)"                     , "PASS"
"Admin"   , "Branch ? duplicate name rejected"                                         , "PASS"
"Admin"   , "GET /branches ? lists all 3 branches"                                     , "PASS"
"Admin"   , "GET /branches/:id ? returns single branch detail"                         , "PASS"
"Admin"   , "PATCH /branches/:id ? updates description"                                , "PASS"
"Admin"   , "Setup Wizard Step 4 ? Create Generator (capitalized, ?1.2M)"              , "PASS"
"Admin"   , "Generator recognized as capitalized"                                      , "PASS"
"Admin"   , "Generator is marked depreciable"                                          , "PASS"
"Admin"   , "Setup Wizard Step 4 ? Create Laptop (capitalized, ?450K)"                 , "PASS"
"Admin"   , "Setup Wizard Step 4 ? Create Office Chair (tracked_non_capitalized, ?35K)", "PASS"
"Admin"   , "Office Chair treatment != capitalized (below threshold)"                  , "PASS"
"Admin"   , "Create AC Unit (for maintenance flow, ?280K)"                             , "PASS"
"Admin"   , "Create Old Printer (for disposal flow, ?85K)"                             , "PASS"
"Admin"   , "POST /assets ? duplicate tag rejected"                                    , "PASS"
"Admin"   , "GET /assets ? default list (all active)"                                  , "PASS"
"Admin"   , "GET /assets?search=Generator ? search by name"                            , "PASS"
"Admin"   , "GET /assets?status=active ? filter by status"                             , "PASS"
"Admin"   , "GET /assets?condition=excellent ? filter by condition"                    , "PASS"
"Admin"   , "GET /assets?accountingTreatment=capitalized ? filter by treatment"        , "PASS"
"Admin"   , "GET /assets/:id ? asset detail (generator)"                               , "PASS"
"Admin"   , "GET /assets/:id/timeline ? lifecycle events"                              , "PASS"
"Admin"   , "GET /assets/audit ? audit summary"                                        , "PASS"
"Admin"   , "GET /assets/export ? Excel binary download"                               , "PASS"
"Admin"   , "POST /assets/:id/transfer ? Generator to Abuja branch"                    , "PASS"
"Admin"   , "Transfer ? no destination rejected"                                       , "PASS"
"Admin"   , "GET /assets/:id/timeline ? shows transfer event"                          , "PASS"
"Admin"   , "POST /assets/:id/depreciation ? Generator FY2023"                         , "PASS"
"Admin"   , "POST /assets/:id/depreciation ? Generator FY2024"                         , "PASS"
"Admin"   , "Depreciation on non-capitalized asset rejected"                           , "PASS"
"Admin"   , "POST /assets/:id/dispose ? Printer disposed (below threshold)"            , "PASS"
"Admin"   , "Double dispose rejected"                                                  , "PASS"
"Admin"   , "POST /assets/:id/restore ? Printer restored after disposal"               , "PASS"
"Admin"   , "DELETE /assets/:id ? soft deletes chair"                                  , "PASS"
"Admin"   , "Soft-deleted asset excluded from default list"                            , "PASS"
"Admin"   , "POST /assets/:id/restore ? Chair restored"                                , "PASS"
"Admin"   , "POST /maintenance ? Create AC service task (high priority)"               , "PASS"
"Admin"   , "POST /maintenance ? Create critical generator check"                      , "PASS"
"Admin"   , "GET /maintenance ? lists all tasks"                                       , "PASS"
"Admin"   , "GET /maintenance/:id ? task detail"                                       , "PASS"
"Admin"   , "PATCH /maintenance/:id ? Start AC service (in_progress)"                  , "PASS"
"Admin"   , "Asset status changes to maintenance when task started"                    , "PASS"
"Admin"   , "PATCH /maintenance/:id/complete ? AC service completed"                   , "PASS"
"Admin"   , "Asset reverts to active after last task completed"                        , "PASS"
"Admin"   , "GET /notifications ? notification list"                                   , "PASS"
"Admin"   , "GET /notifications?unreadOnly=true ? unread filter"                       , "PASS"
"Admin"   , "PATCH /notifications/read-all ? mark all read"                            , "PASS"
"Admin"   , "GET /notifications ? unread count is now 0"                               , "FAIL"
"Admin"   , "GET /notifications/stream?token= ? SSE connects (200)"                    , "PASS"
"Admin"   , "POST /auth/login ? returns org slug in response"                          , "PASS"
"Admin"   , "POST /auth/organization-login ? slug login works"                         , "FAIL"
"Admin"   , "POST /auth/verify-password ? correct password verified"                   , "PASS"
"Admin"   , "POST /auth/password-reset/request ? accepts any email"                    , "PASS"
"Admin"   , "GET /assets/audit ? data completeness score available"                    , "PASS"
"Admin"   , "GET /assets?accountingTreatment=capitalized ? finance filter"             , "PASS"
"Admin"   , "GET /assets?includeDeleted=true ? shows deleted assets"                   , "PASS"
"Admin"   , "GET /auth/verify-password ? wrong password rejected"                      , "PASS"
"Admin"   , "GET /assets ? all assets still queryable after concurrent writes"         , "PASS"
"Admin"   , "GET /assets/audit ? audit summary consistent after concurrent ops"        , "PASS"
"Admin"   , "GET /branches ? all branches still intact"                                , "PASS"
"Admin"   , "GET /maintenance ? maintenance records consistent"                        , "PASS"
"Admin"   , "GET /assets/:id ? generator data still correct after concurrent access"   , "PASS"
"Admin"   , "GET /notifications ? notifications generated from all concurrent ops"     , "PASS"
